Date,b&h,without_pca,with_pca,with_pca_and_dwt,with_pca_dwt_mooga
2016-08-31,134084.19852854247,112549.51656079333,140479.50220651433,117516.98097963806,105023.33505123234
2016-09-01,134104.17835699706,112533.13232403534,140458.66721030488,117499.54721881727,105007.94203164475
2016-09-02,134214.12842060713,112442.96899366249,140344.0111128438,117478.4407291002,104923.23342232649
2016-09-06,135133.70383817414,111688.88137011288,139385.0764361591,116554.87739906264,104214.7667582087
2016-09-07,134084.19852854247,112549.51656079333,140479.50220651433,117474.72592433321,105023.33505123234
2016-09-08,132774.78767944916,113623.28440688833,141844.95787794236,118622.37103623306,106032.14185325752
2016-09-09,131245.49195491322,114877.36640667802,143439.70983971527,117139.8062025417,107210.35412352259
2016-09-12,127727.1127970578,117762.57421803223,147108.6811016034,114001.329852587,109921.01199611159
2016-09-13,128576.72068559013,117065.86269076301,147939.45848940682,114759.19992436147,109266.45027654192
2016-09-14,125708.04436927897,114339.80359126077,151095.4236294855,117206.13911236166,111476.55887821355
2016-09-15,126247.79714721323,113733.93934168947,150473.7628424484,117591.63002015819,111060.71821661439
2016-09-16,126947.47243756015,113096.88090612067,151156.57541733465,118242.98143344809,110521.6687711331
2016-09-19,126097.86454902781,113870.45384743028,150144.98003254517,118916.47614903671,111176.23049070277
2016-09-20,126277.78214167258,113919.02715165511,150359.2009794296,118967.19778710537,111223.65103042604
2016-09-21,126817.53491960677,113317.82691319317,151001.86382008274,119475.44748461538,111698.82249349069
2016-09-22,128096.9455224633,112162.87259466122,152525.20874021543,120680.18431687717,112825.15186662799
2016-09-23,128736.65082389157,111585.39543539521,153286.8812002818,121282.55273300808,113388.31655319667
2016-09-26,127777.09287174916,112451.6111742942,152144.37251018226,120379.00010881173,112543.56952334367
2016-09-27,125438.1641673675,114563.01763116792,149359.50020068503,118176.58475293482,110484.49318339677
2016-09-28,126807.53737949076,113326.85192995159,150989.96013418588,119466.03345851394,111690.02115710451
2016-09-29,128256.87566076472,112018.49986280935,152715.63139515798,120830.78001130886,112965.94639499647
2016-09-30,127917.02792981855,111610.0866938183,152310.987793331,120510.76775104049,112666.76137893977
2016-10-03,128666.67566896815,112264.2053922786,153203.56447885543,121216.66173109575,113326.71391194599
2016-10-04,128486.76570221214,112309.00852030673,152989.352611823,121047.25234605702,113168.33013771039
2016-10-05,128186.90050584132,112570.95302063844,152632.3146737317,120764.88900939656,112904.34375374581
2016-10-06,127567.19028464508,113112.29521775345,153218.08528556582,120181.34864546859,112358.78173994951
